Location,Date,Value
DEU,1982-06,9.1
DEU,1982-07,9.3
DEU,1982-08,9
DEU,1982-09,8.6
DEU,1982-10,8.3
DEU,1982-11,8.2
DEU,1982-12,7.9
DEU,1983-01,7.8
DEU,1983-02,7.8
DEU,1983-03,7.6
DEU,1983-04,7.7
DEU,1983-05,7.8
DEU,1983-06,8.2
DEU,1983-07,8.2
DEU,1983-08,8.4
DEU,1983-09,8.5
DEU,1983-10,8.3
DEU,1983-11,8.3
DEU,1983-12,8.4
DEU,1984-01,8.4
DEU,1984-02,8.2
DEU,1984-03,8.1
DEU,1984-04,8.1
DEU,1984-05,8.2
DEU,1984-06,8.2
DEU,1984-07,8.2
DEU,1984-08,8.1
DEU,1984-09,7.8
DEU,1984-10,7.6
DEU,1984-11,7.4
DEU,1984-12,7.2
DEU,1985-01,7.3
DEU,1985-02,7.6
DEU,1985-03,7.7
DEU,1985-04,7.4
DEU,1985-05,7.2
DEU,1985-06,7.1
DEU,1985-07,6.9
DEU,1985-08,6.7
DEU,1985-09,6.5
DEU,1985-10,6.7
DEU,1985-11,6.8
DEU,1985-12,6.6
DEU,1986-01,6.5
DEU,1986-02,6.4
DEU,1986-03,6.1
DEU,1986-04,5.7
DEU,1986-05,6.1
DEU,1986-06,6.2
DEU,1986-07,6.1
DEU,1986-08,5.9
DEU,1986-09,6
DEU,1986-10,6.3
DEU,1986-11,6.4
DEU,1986-12,6.2
DEU,1987-01,6.1
DEU,1987-02,6.1
DEU,1987-03,6
DEU,1987-04,5.8
DEU,1987-05,5.7
DEU,1987-06,6
DEU,1987-07,6.3
DEU,1987-08,6.5
DEU,1987-09,6.7
DEU,1987-10,6.9
DEU,1987-11,6.4
DEU,1987-12,6.5
DEU,1988-01,6.5
DEU,1988-02,6.3
DEU,1988-03,6.2
DEU,1988-04,6.3
DEU,1988-05,6.6
DEU,1988-06,6.6
DEU,1988-07,6.7
DEU,1988-08,6.8
DEU,1988-09,6.6
DEU,1988-10,6.4
DEU,1988-11,6.4
DEU,1988-12,6.5
DEU,1989-01,6.7
DEU,1989-02,6.9
DEU,1989-03,7
DEU,1989-04,6.9
DEU,1989-05,7.1
DEU,1989-06,6.9
DEU,1989-07,6.8
DEU,1989-08,6.8
DEU,1989-09,7
DEU,1989-10,7.2
DEU,1989-11,7.5
DEU,1989-12,7.5
DEU,1990-01,7.695
DEU,1990-02,8.575
DEU,1990-03,8.645
DEU,1990-04,8.7625
DEU,1990-05,8.715
DEU,1990-06,8.8325
DEU,1990-07,8.545
DEU,1990-08,8.9975
DEU,1990-09,9.105
DEU,1990-10,9.0675
DEU,1990-11,8.9325
DEU,1990-12,8.845
DEU,1991-01,8.9275
DEU,1991-02,8.35
DEU,1991-03,8.4275
DEU,1991-04,8.3575
DEU,1991-05,8.395
DEU,1991-06,8.4075
DEU,1991-07,8.6325
DEU,1991-08,8.52
DEU,1991-09,8.455
DEU,1991-10,8.3475
DEU,1991-11,8.315
DEU,1991-12,8.2125
DEU,1992-01,7.9475
DEU,1992-02,7.92
DEU,1992-03,8.0275
DEU,1992-04,8.035
DEU,1992-05,8.075
DEU,1992-06,8.0675
DEU,1992-07,8.125
DEU,1992-08,8.04
DEU,1992-09,7.6525
DEU,1992-10,7.4525
DEU,1992-11,7.36
DEU,1992-12,7.32
DEU,1993-01,7.1325
DEU,1993-02,6.905
DEU,1993-03,6.6375
DEU,1993-04,6.6775
DEU,1993-05,6.83
DEU,1993-06,6.8075
DEU,1993-07,6.6075
DEU,1993-08,6.3725
DEU,1993-09,6.19
DEU,1993-10,5.985
DEU,1993-11,5.9825
DEU,1993-12,5.83
DEU,1994-01,5.815
DEU,1994-02,6.135
DEU,1994-03,6.345
DEU,1994-04,6.607
DEU,1994-05,6.6635
DEU,1994-06,7.052381
DEU,1994-07,6.896191
DEU,1994-08,7.089565
DEU,1994-09,7.515455
DEU,1994-10,7.5415
DEU,1994-11,7.491428
DEU,1994-12,7.460952
DEU,1995-01,7.595909
DEU,1995-02,7.424
DEU,1995-03,7.277391
DEU,1995-04,7.088333
DEU,1995-05,6.862381
DEU,1995-06,6.783
DEU,1995-07,6.862381
DEU,1995-08,6.746087
DEU,1995-09,6.585238
DEU,1995-10,6.565238
DEU,1995-11,6.341818
DEU,1995-12,6.074737
DEU,1996-01,5.887273
DEU,1996-02,6.204286
DEU,1996-03,6.445238
DEU,1996-04,6.377
DEU,1996-05,6.446
DEU,1996-06,6.558948
DEU,1996-07,6.478696
DEU,1996-08,6.302273
DEU,1996-09,6.226666
DEU,1996-10,6.008636
DEU,1996-11,5.859524
DEU,1996-12,5.79
DEU,1997-01,5.804091
DEU,1997-02,5.5445
DEU,1997-03,5.715263
DEU,1997-04,5.866818
DEU,1997-05,5.761111
DEU,1997-06,5.718572
DEU,1997-07,5.556522
DEU,1997-08,5.66
DEU,1997-09,5.592727
DEU,1997-10,5.578182
DEU,1997-11,5.5565
DEU,1997-12,5.327368
DEU,1998-01,5.112381
DEU,1998-02,4.989
DEU,1998-03,4.899546
DEU,1998-04,4.902
DEU,1998-05,4.964737
DEU,1998-06,4.7985
DEU,1998-07,4.684783
DEU,1998-08,4.425238
DEU,1998-09,4.060909
DEU,1998-10,4.064546
